Huc Cd	Huc Class Cd	Huc Nm
3160113	Cataloging Unit	Lower Black Warrior
3160201	Cataloging Unit	Middle Tombigbee-Chickasaw
3160202	Cataloging Unit	Sucarnoochee
3160203	Cataloging Unit	Lower Tombigbee
3160204	Cataloging Unit	Mobile-Tensaw
3160205	Cataloging Unit	Mobile Bay
3170001	Cataloging Unit	Chunky-Okatibbee
3170002	Cataloging Unit	Upper Chickasawhay
3170003	Cataloging Unit	Lower Chickasawhay
3170004	Cataloging Unit	Upper Leaf
3170005	Cataloging Unit	Lower Leaf
3170006	Cataloging Unit	Pascagoula
3170007	Cataloging Unit	Black
3170008	Cataloging Unit	Escatawpa
3170009	Cataloging Unit	Mississippi Coastal
3180001	Cataloging Unit	Upper Pearl
3180002	Cataloging Unit	Middle Pearl-Strong
3180003	Cataloging Unit	Middle Pearl-Silver
3180004	Cataloging Unit	Lower Pearl
3180005	Cataloging Unit	Bogue Chitto
4010101	Cataloging Unit	Baptism-Brule
4010102	Cataloging Unit	Beaver-Lester
4010201	Cataloging Unit	St. Louis
4010202	Cataloging Unit	Cloquet
4010301	Cataloging Unit	Beartrap-Nemadji
4010302	Cataloging Unit	Bad-Montreal
4020101	Cataloging Unit	Black-Presque Isle
4020102	Cataloging Unit	Ontonagon
4020103	Cataloging Unit	Keweenaw Peninsula
4020104	Cataloging Unit	Sturgeon
4020105	Cataloging Unit	Dead-Kelsey
4020201	Cataloging Unit	Betsy-Chocolay
4020202	Cataloging Unit	Tahquamenon
4020203	Cataloging Unit	Waiska
4020300	Cataloging Unit	Lake Superior
4030101	Cataloging Unit	Manitowoc-Sheboygan
4030102	Cataloging Unit	Door-Kewaunee
4030103	Cataloging Unit	Duck-Pensaukee
4030104	Cataloging Unit	Oconto
4030105	Cataloging Unit	Peshtigo
4030106	Cataloging Unit	Brule
4030107	Cataloging Unit	Michigamme
4030108	Cataloging Unit	Menominee
4030109	Cataloging Unit	Cedar-Ford
4030110	Cataloging Unit	Escanaba
4030111	Cataloging Unit	Tacoosh-Whitefish
4030112	Cataloging Unit	Fishdam-Sturgeon
4030201	Cataloging Unit	Upper Fox
4030202	Cataloging Unit	Wolf
4030203	Cataloging Unit	Lake Winnebago
4030204	Cataloging Unit	Lower Fox
4040001	Cataloging Unit	Little Calumet-Galien
4040002	Cataloging Unit	Pike-Root
4040003	Cataloging Unit	Milwaukee
4050001	Cataloging Unit	St. Joseph
4050002	Cataloging Unit	Black-Macatawa
4050003	Cataloging Unit	Kalamazoo
4050004	Cataloging Unit	Upper Grand
4050005	Cataloging Unit	Maple
4050006	Cataloging Unit	Lower Grand
4050007	Cataloging Unit	Thornapple
4060101	Cataloging Unit	Pere Marquette-White
4060102	Cataloging Unit	Muskegon
4060103	Cataloging Unit	Manistee
4060104	Cataloging Unit	Betsie-Platte
4060105	Cataloging Unit	Boardman-Charlevoix
4060106	Cataloging Unit	Manistique
4060107	Cataloging Unit	Brevoort-Millecoquins
4060200	Cataloging Unit	Lake Michigan
4070001	Cataloging Unit	St. Marys
4070002	Cataloging Unit	Carp-Pine
4070003	Cataloging Unit	Lone Lake-Ocqueoc
4070004	Cataloging Unit	Cheboygan
4070005	Cataloging Unit	Black
4070006	Cataloging Unit	Thunder Bay
4070007	Cataloging Unit	Au Sable
4080101	Cataloging Unit	Au Gres-Rifle
4080102	Cataloging Unit	Kawkawlin-Pine
4080103	Cataloging Unit	Pigeon-Wiscoggin
4080104	Cataloging Unit	Birch-Willow
4080201	Cataloging Unit	Tittabawassee
4080202	Cataloging Unit	Pine
4080203	Cataloging Unit	Shiawassee
4080204	Cataloging Unit	Flint
4080205	Cataloging Unit	Cass
4080206	Cataloging Unit	Saginaw
4080300	Cataloging Unit	Lake Huron
4090001	Cataloging Unit	St. Clair
4090002	Cataloging Unit	Lake St. Clair
4090003	Cataloging Unit	Clinton
4090004	Cataloging Unit	Detroit
4090005	Cataloging Unit	Huron
4100001	Cataloging Unit	Ottawa-Stony
4100002	Cataloging Unit	Raisin
4100003	Cataloging Unit	St. Joseph
4100004	Cataloging Unit	St. Marys
4100005	Cataloging Unit	Upper Maumee
4100006	Cataloging Unit	Tiffin
4100007	Cataloging Unit	Auglaize
4100008	Cataloging Unit	Blanchard
4100009	Cataloging Unit	Lower Maumee
4100010	Cataloging Unit	Cedar-Portage
4100011	Cataloging Unit	Sandusky
4100012	Cataloging Unit	Huron-Vermilion
4110001	Cataloging Unit	Black-Rocky
4110002	Cataloging Unit	Cuyahoga
4110003	Cataloging Unit	Ashtabula-Chagrin
4110004	Cataloging Unit	Grand
4120101	Cataloging Unit	Chautauqua-Conneaut
4120102	Cataloging Unit	Cattaraugus
4120103	Cataloging Unit	Buffalo-Eighteenmile
4120104	Cataloging Unit	Niagara
4120200	Cataloging Unit	Lake Erie
4130001	Cataloging Unit	Oak Orchard-Twelvemile
4130002	Cataloging Unit	Upper Genesee
4130003	Cataloging Unit	Lower Genesee
4140101	Cataloging Unit	Irondequoit-Ninemile
4140102	Cataloging Unit	Salmon-Sandy
4140201	Cataloging Unit	Seneca
4140202	Cataloging Unit	Oneida
4140203	Cataloging Unit	Oswego
4150101	Cataloging Unit	Black
4150102	Cataloging Unit	Chaumont-Perch
4150200	Cataloging Unit	Lake Ontario
4150301	Cataloging Unit	Upper St. Lawrence
4150302	Cataloging Unit	Oswegatchie
4150303	Cataloging Unit	Indian
